PLAYER,LESS THAN 5FT.FG%,5-9 FT.FG%,10-14 FT.FG%,15-19 FT.FG%,20-24 FT.FG%,25-29 FT.FG%
Andre Roberson,16.7,0.0,0.0,0.0,0.0,25.0
Bruce Brown,67.6,42.9,46.2,0.0,28.6,0.0
Chris Chiozza,33.3,40.0,0.0,25.0,50.0,40.0
DeAndre Jordan,78.6,66.7,0.0,0.0,0.0,0.0
Iman Shumpert,0.0,0.0,100,0.0,0.0,0.0
James Harden,60.3,53.1,41.2,55.6,43.8,36.3
Jeff Green,67.9,33.3,60.0,28.6,41.8,43.5
Joe Harris,61.0,56.3,63.0,53.3,50.0,47.8
Kevin Durant,69.9,46.3,54.1,52.1,46.7,41.9
Kyrie Irving,62.7,55.8,53.3,56.4,42.0,43.2
Landry Shamet,50.0,66.7,42.9,35.7,43.6,32.7
Nicolas Claxton,71.7,42.9,0.0,0.0,0.0,0.0
Noah Vonleh,0.0,0.0,0.0,0.0,0.0,0.0
Reggie Perry,54.3,0.0,0.0,0.0,0.0,33.3
Spencer Dinwiddie,50.0,0.0,0.0,0.0,25.0,33.3
Timothe Luwawu-Cabarrot,50.0,37.5,0.0,33.3,35.6,36.7
Tyler Johnson,50.0,33.3,20.0,28.6,54.8,32.4